SWORD & SHIELD PULL RATES										
SWSH 1 - Base Set	e4			SWSH  5 - Battle Styles				SWSH 10 - Astral Radience		
Rarity	# of Packs	 in Set		Rarity Tier	Pull Rate	in In Set		Rarity Tier	Pull Rate	Number In Set
V	1 in 7.04	17		V				UR	/5	58 or 115
VMAX	1 in 45.37	4		VMAX / STAR		6		Normal V	/8	19
Ultra Rare	1 in 26.75	16		Ultra Rare				VMAX ./ STAR	/29	9
UR - Pokemon (Full Art)	1 in 35.06	12		Full Art V	/48			Full Art V	/47	15
UR - Trainer (Full Art)	1 in 112.88	4		Full Art Trainor	/94			Full Art Trainor	/93	9
Rainbow Rare	1 in 81.19	8		Alt Art	/201	4		Alt Art	/135	6
RR - Pokemon (Full Art)	1 in 201.22	4		Alt Art VMAX	/703	2		Trainer Gal Total	/8	30
RR - Trainer (Full Art)	1 in 136.12	4		Rainbow Rare	/108	12		Non V	/12	12
Secret Rare	1 in 110.19	6		Secret Rare 				V, VMAX, Trainer	/24	16
SR - Pokemon (Gold)	1 in 257.11	2		Gold Rare	/117	6		Gold/Black VMAX	/24?	2
SR - Trainer/Energy (Gold)	1 in 192.83	4						Secret Rare Total	/49	27
Hits	1 in 4.49	51		SWSH 6 - Chilling Reign 				Rainbow 	/78	18
				Rarity Tier	Pull Rate	In Set		Gold Rare	/130	9
SWSH 2 - Rebel Clash				Normal V		15				
Rarity	Pull %	in set		VMAX ./ STAR	/24	8		10.5 - PoGo		
Holo Rare V	1 in 7.91	16		UR	/5 			Rarity Tier	Pull Rate	Number In Set
Holo Rare VMAX	1 in 29.42	7		Full Art V	/49	18				
Ultra Rare	1 in 26.56	18		Full Art Trainor	/78	13		SWSH 11 - Lost Origin		
UR - Pokemon (Full Art)	1 in 32.96	14		Alt Art V	/147	10		Rarity Tier	Pull Rate	Number In Set
UR - Trainer (Full Art)	1 in 136.80	4		Alt Art V MAX	/454	3		UR	/5	98
Rainbow Rare	1 in 66.73	11		Rainbow 	/122	20		Normal V	/9	12
RR - Pokemon (Full Art)	1 in 105.23	7		Secret Rare 		15		VMAX ./ STAR	/23	7
RR - Trainer (Full Art)	1 in 182.40	4		Gold Rare	/100	12		Full Art V	/51	13
Secret Rare	1 in 105.23	6						Full Art Trainor	/70	8
SR - Pokemon (Gold)	1 in 304.00	2		SWSH 7 - Evolving Skies				Alt Art	/201	4
SR - Trainer/Energy (Gold)	1 in 160.94	4		Rarity Tier	Pull Rate	 in Set		Trainer Gal Total	/8	30
Hits	1 in 4.49	58		Normal V	/9	18		Non V	/12	11
				VMAX ./ STAR	/18	15		V, VMAX, Trainer	/32	17
SWSH 3 - Darkness Ablaze				Ultra Rare				Gold/Black VMAX	/117	2
Rarity	Packs	 in Set		Full Art 	/36	27		Radient Rare	/20	3
V	1 in 7.95	14		Alt Art Total 	/228	17		Secret Rare Total	/49	21
VMAX	1 in 25.98	7		Alt Art V	/91	11		Rainbow 	/78	15
Ultra Rare	1 in 25.98	13		Alt Art VMAX	/332	6		Gold Rare	/131	6
UR - Pokemon (Full Art)	1 in 36.79	9		Secret Rare Total						
UR - Trainer (Full Art)	1 in 88.42	4		Rainbow 	/118	16		SWSH 12 - Silver Tempest		
Rainbow Rare	1 in 84.00	7		Gold Rare	/109	12		Rarity Tier	Pull Rate	Number In Set
RR - Pokemon (Full Art)	1 in 129.23	5						UR	/5	48
RR - Trainer (Full Art)	1 in 240.00	2		7.5 - Celebrations				Normal V	/9	15
Secret Rare	1 in 114.55	5		Rarity Tier	Pull Rate	 in Set		VMAX ./ STAR	/27	7
SR - Pokemon (Gold)	1 in 265.26	2						Full Art V	/48	14
SR - Trainer/Energy (Gold)	1 in 201.60	3		SWSH 8 - Fusion Strike				Full Art Trainor	/99	8
Hits		46		Rarity Tier	Pull Rate	 in Set		Alt Art	/168	4
				Normal V	/8	19		Trainer Gal Total	/8 	30
3.5 - Champions Path				VMAX ./ STAR	/30	8		Non V	/12	11
Rarity	Packs	 in Set		Ultra Rare	/5			V, VMAX, Trainer	/32	17
Holo Rare V	1 in 6.36	11		Full Art V	/58	13		Gold Black VMAX	/111	2
Holo Rare VMAX	1 in 29.83	3		Full Art Trainor	/64	7		Radient Rare	/22	3
Ultra Rare	1 in 18.56	5		Alt Art V	/180	4		Secret Rare Total	/45	20
UR - Pokemon (Full Art)	1 in 26.60	4		Alt art VMAX	/332	4		Rainbow 	/80	14
UR - Trainer (Full Art)	1 in 61.38	1		Secret Rare Total		16		Gold Rare	/106	6
Rainbow Rare	1 in 63.84	5		Rainbow 	/127	11				
RR - Pokemon (Full Art)	1 in 114.00	3		Gold Rare	/120	5		SWSH 12.5 - CZ		
